scenario,year,clusterId,startDate,endDate,crashDays,featureAsOfDate,featureObservationCount,filled,fillCount,outcomeClass,marginalEndingBtc,fullEndingBtc,withoutEndingBtc,clusterTopRank,v3TrendScore,bearLock,baselineTargetExposure,priceVsMA200,ma200Slope30,ema15,ema30,ema15VsEma30,drawdown365,ma200Deviation,rv30,volatilityCap,preCrash7dReturn,preCrash30dReturn,preCrash7dRealizedVol,consecutiveDown3,consecutiveDown5,consecutiveDown7,preCrash30dHighDrawdown,preCrash90dHighDrawdown,fundingLastRate,fundingMean7dAvailable,fundingMedian7dAvailable,fundingPositiveShare7d,fundingEvents7dAvailable,fundingExpectedSlots7d,fundingCoverageRatio7d,fundingStatus7d
"curve_mild","2024","crash-2024-01-03","2024-01-03","2024-01-03","[""2024-01-03""]","2024-01-02","1246","true","2","profitable","0.0024340833601124157","1.3999098900113864","1.397475806651274","13","3","false","1.25","0.4008355700174904","0.08160645619466855","43096.12721011829","42223.88233739697","0.02065761896908258","0","0.4008355700174904","0.471541207717894","1.2724232584121433","0.05769537483998688","0.12472172469984133","0.4260677800706171","false","false","false","0","0","0.00033397","0.0003302044444444445","0.00033238","1","18","21","0.8571428571428571","partial"
"curve_aggressive","2024","crash-2024-01-03","2024-01-03","2024-01-03","[""2024-01-03""]","2024-01-02","1246","true","2","profitable","0.010086767836163801","1.4522557251741064","1.4421689573379426","4","3","false","1.25","0.4008355700174904","0.08160645619466855","43096.12721011829","42223.88233739697","0.02065761896908258","0","0.4008355700174904","0.471541207717894","1.2724232584121433","0.05769537483998688","0.12472172469984133","0.4260677800706171","false","false","false","0","0","0.00033397","0.0003302044444444445","0.00033238","1","18","21","0.8571428571428571","partial"
"curve_mild","2024","crash-2024-01-09","2024-01-09","2024-01-09","[""2024-01-09""]","2024-01-08","1252","true","1","profitable","0.0021906836672005436","1.3999098900113864","1.397719206344186","14","3","false","1.1867636715031318","0.439144252857953","0.08218746590550308","43917.16231392412","42964.962493215426","0.022162240240732434","0","0.439144252857953","0.5055766488369599","1.1867636715031318","0.06333069709140138","0.07495077682360063","0.6859129111121348","false","false","false","0","0","0.00004837","0.0001076647619047619","0.0001","0.8571428571428571","21","21","1","complete"
"curve_aggressive","2024","crash-2024-01-09","2024-01-09","2024-01-09","[""2024-01-09""]","2024-01-08","1252","true","1","profitable","0.004491926371312571","1.4522557251741064","1.4477637988027938","13","3","false","1.1867636715031318","0.439144252857953","0.08218746590550308","43917.16231392412","42964.962493215426","0.022162240240732434","0","0.439144252857953","0.5055766488369599","1.1867636715031318","0.06333069709140138","0.07495077682360063","0.6859129111121348","false","false","false","0","0","0.00004837","0.0001076647619047619","0.0001","0.8571428571428571","21","21","1","complete"
"curve_mild","2024","crash-2024-01-12","2024-01-12","2024-01-12","[""2024-01-12""]","2024-01-11","1255","true","2","losing","-0.0003864940597737565","1.3999098900113864","1.4002963840711602","35","3","false","1.25","0.4078345473342777","0.08291911574294275","44733.850316640346","43585.48572581773","0.026347408356226953","-0.013668484674615788","0.4078345473342777","0.46461797601521465","1.291383525764298","0.0487092705437564","0.11769155486392857","0.5530230854060456","false","false","false","-0.013668484674615788","-0.013668484674615788","0.0001","0.0000590957142857143","0.0001","0.8571428571428571","21","21","1","complete"
"curve_aggressive","2024","crash-2024-01-12","2024-01-12","2024-01-12","[""2024-01-12""]","2024-01-11","1255","true","2","losing","-0.00000709307200530418","1.4522557251741064","1.4522628182461117","32","3","false","1.25","0.4078345473342777","0.08291911574294275","44733.850316640346","43585.48572581773","0.026347408356226953","-0.013668484674615788","0.4078345473342777","0.46461797601521465","1.291383525764298","0.0487092705437564","0.11769155486392857","0.5530230854060456","false","false","false","-0.013668484674615788","-0.013668484674615788","0.0001","0.0000590957142857143","0.0001","0.8571428571428571","21","21","1","complete"
"curve_mild","2024","crash-2024-01-22","2024-01-22","2024-01-22","[""2024-01-22""]","2024-01-21","1265","true","1","profitable","0.00009172377410404664","1.3999098900113864","1.3998181662372824","32","2","false","1","0.24002940351989577","0.07457448308495929","42736.35755099562","42863.61965356465","-0.0029690003690214795","-0.11570966314288256","0.24002940351989577","0.5210909513083157","1.1514304719618818","-0.003711658587581712","-0.05563464668842921","0.34074669566961735","false","false","false","-0.11570966314288256","-0.11570966314288256","0.0001","0.00009197238095238098","0.0001","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-01-22","2024-01-22","2024-01-22","[""2024-01-22""]","2024-01-21","1265","true","1","losing","-0.0003435400167721703","1.4522557251741064","1.4525992651908786","34","2","false","1","0.24002940351989577","0.07457448308495929","42736.35755099562","42863.61965356465","-0.0029690003690214795","-0.11570966314288256","0.24002940351989577","0.5210909513083157","1.1514304719618818","-0.003711658587581712","-0.05563464668842921","0.34074669566961735","false","false","false","-0.11570966314288256","-0.11570966314288256","0.0001","0.00009197238095238098","0.0001","1","21","21","1","complete"
"curve_mild","2024","crash-2024-03-05","2024-03-05","2024-03-05","[""2024-03-05""]","2024-03-04","1308","true","2","profitable","0.0006595606388213326","1.3999098900113864","1.399250329372565","23","3","false","1.1432325585208734","0.813597357201191","0.10040998531430412","58332.23847682391","54020.88911397623","0.07980893009279","0","0.813597357201191","0.5248276000609067","1.1432325585208734","0.25333394612984006","0.5894720259808643","0.8303202525890578","false","false","false","0","0","0.00068712","0.00046820789473684207","0.00049753","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-03-05","2024-03-05","2024-03-05","[""2024-03-05""]","2024-03-04","1308","true","2","profitable","0.004292223722610844","1.4522557251741064","1.4479635014514955","15","3","false","1.1432325585208734","0.813597357201191","0.10040998531430412","58332.23847682391","54020.88911397623","0.07980893009279","0","0.813597357201191","0.5248276000609067","1.1432325585208734","0.25333394612984006","0.5894720259808643","0.8303202525890578","false","false","false","0","0","0.00068712","0.00046820789473684207","0.00049753","1","19","21","0.9047619047619048","partial"
